Id. del pedido;Fecha del pedido;Fecha de envío;Forma de envío;Id. del cliente;Nombre del cliente;Segmento;Ciudad;Estado;País;Región;Id. del producto;Categoría;Subcategoría;Nombre del producto;Total;Cantidad;Descuento;Ganancia
US-2018-150574;25/6/2018;27/6/2018;Rápido;TA-21175;Teodora Atencio;Empresa;São Miguel dos Campos;Alagoas;Brasil;Sur;TEC-AC-10003453;Tecnología;Accesorios;Belkin Teclado, Blanco;1481.6;10;0.6;-1668.4
US-2018-150574;25/6/2018;27/6/2018;Rápido;TA-21175;Teodora Atencio;Empresa;São Miguel dos Campos;Alagoas;Brasil;Sur;MOB-LI-10002548;Mobiliario;Librerías;Sauder Conjunto de estantes, Blanco;1576.8;3;0.6;-1458.6
US-2018-150574;25/6/2018;27/6/2018;Rápido;TA-21175;Teodora Atencio;Empresa;São Miguel dos Campos;Alagoas;Brasil;Sur;MAT-AL-10003173;Material de oficina;Almacenamiento;Smead Caja, Tamaño completo;57.6;2;0.6;-53.6
US-2018-165785;16/11/2018;20/11/2018;Rápido;PS-19870;Paola Solís;Pequeña empresa;São Miguel dos Campos;Alagoas;Brasil;Sur;MAT-ET-10000741;Material de oficina;Etiquetas;Hon Etiquetas extraíbles, Blanco;82.08;3;0.6;-94.92
US-2018-165785;16/11/2018;20/11/2018;Rápido;PS-19870;Paola Solís;Pequeña empresa;São Miguel dos Campos;Alagoas;Brasil;Sur;MAT-SU-10004792;Material de oficina;Suministros;Elite Regla, Acero;316.8;9;0.6;-302.4
US-2018-165785;16/11/2018;20/11/2018;Rápido;PS-19870;Paola Solís;Pequeña empresa;São Miguel dos Campos;Alagoas;Brasil;Sur;MAT-GR-10004275;Material de oficina;Grapas;OIC Grapas, Tamaños variados;46.88;2;0.6;-19.12
US-2018-165785;16/11/2018;20/11/2018;Rápido;PS-19870;Paola Solís;Pequeña empresa;São Miguel dos Campos;Alagoas;Brasil;Sur;MAT-SO-10002307;Material de oficina;Sobres;Kraft Sobre de hebilla, Rojo;167.2;5;0.6;-213.8
US-2016-162015;26/2/2016;3/3/2016;Estándar;AF-10195;Adela Feliciano;Empresa;São Miguel dos Campos;Alagoas;Brasil;Sur;TEC-TE-10001916;Tecnología;Teléfonos;Samsung Teléfono de oficina, Tamaño completo;709.44;4;0.6;-514.56
US-2016-162015;26/2/2016;3/3/2016;Estándar;AF-10195;Adela Feliciano;Empresa;São Miguel dos Campos;Alagoas;Brasil;Sur;TEC-AC-10000557;Tecnología;Accesorios;Memorex Ratón, Blanco;207.84;3;0.6;-125.16
US-2016-162015;26/2/2016;3/3/2016;Estándar;AF-10195;Adela Feliciano;Empresa;São Miguel dos Campos;Alagoas;Brasil;Sur;MOB-SI-10004340;Mobiliario;Sillas;Harbour Creations Taburete, Rojo;1440.96;3;0.6;-1116.84
US-2016-162015;26/2/2016;3/3/2016;Estándar;AF-10195;Adela Feliciano;Empresa;São Miguel dos Campos;Alagoas;Brasil;Sur;MAT-SU-10004950;Material de oficina;Suministros;Acme Recortadora, Rectangular;220.16;2;0.6;-313.84
US-2016-117702;17/8/2016;20/8/2016;Urgente;AR-10420;Azucena Rodríguez;Empresa;São Miguel dos Campos;Alagoas;Brasil;Sur;TEC-TE-10003987;Tecnología;Teléfonos;Nokia Base de audio, Tamaños variados;904.48;2;0.6;-384.72
US-2016-117702;17/8/2016;20/8/2016;Urgente;AR-10420;Azucena Rodríguez;Empresa;São Miguel dos Campos;Alagoas;Brasil;Sur;TEC-AC-10004316;Tecnología;Accesorios;Belkin Teclado, Programable;632;4;0.6;-743.2
US-2019-121293;26/9/2019;28/9/2019;Urgente;JA-16990;Julieta Almanza;Empresa;Pilar;Alagoas;Brasil;Sur;MAT-AL-10002238;Material de oficina;Almacenamiento;Rogers Archivador móvil, Tamaño completo;755.36;2;0.6;-717.84
US-2017-114860;27/11/2017;1/12/2017;Estándar;ÁC-10915;Ángel Chávez;Cliente;São Miguel dos Campos;Alagoas;Brasil;Sur;MAT-SU-10002721;Material de oficina;Suministros;Acme Cizallas, Industrial;549.76;4;0.6;-467.84
US-2017-106523;11/2/2017;15/2/2017;Estándar;OG-19795;Olvido Godoy;Pequeña empresa;São Miguel dos Campos;Alagoas;Brasil;Sur;MOB-SI-10001930;Mobiliario;Sillas;Harbour Creations Silla de playa, Rojo;492.96;3;0.6;-407.04
MX-2017-110751;25/12/2017;31/12/2017;Estándar;AD-10735;Alejandra Duarte;Cliente;Macapá;Amapá;Brasil;Sur;MAT-PA-10004917;Material de oficina;Papel;Green Bar Material de oficina, Multicolor;2324;7;0;324.8
MX-2017-110751;25/12/2017;31/12/2017;Estándar;AD-10735;Alejandra Duarte;Cliente;Macapá;Amapá;Brasil;Sur;MAT-AR-10004686;Material de oficina;Arte;Binney & Smith Bolígrafos, Azul;159.2;2;0;9.2
MX-2017-110751;25/12/2017;31/12/2017;Estándar;AD-10735;Alejandra Duarte;Cliente;Macapá;Amapá;Brasil;Sur;MOB-ME-10003239;Mobiliario;Mesas;Bevis Mesa de café, Rectangular;5052;3;0.2;-505.2
MX-2019-161641;25/11/2019;28/11/2019;Rápido;BH-11935;Begoña Hinojosa;Cliente;Macapá;Amapá;Brasil;Sur;TEC-TE-10004444;Tecnología;Teléfonos;Samsung Teléfono inteligente, Azul;4108;5;0;1273
MX-2019-161641;25/11/2019;28/11/2019;Rápido;BH-11935;Begoña Hinojosa;Cliente;Macapá;Amapá;Brasil;Sur;MAT-CA-10002183;Material de oficina;Carpetas;Acco Separadores, Reciclado;238.4;4;0;52
MX-2019-161641;25/11/2019;28/11/2019;Rápido;BH-11935;Begoña Hinojosa;Cliente;Macapá;Amapá;Brasil;Sur;MOB-SI-10000887;Mobiliario;Sillas;Harbour Creations Sillón, Negro;15706;5;0;4868
MX-2019-161641;25/11/2019;28/11/2019;Rápido;BH-11935;Begoña Hinojosa;Cliente;Macapá;Amapá;Brasil;Sur;MAT-SU-10004452;Material de oficina;Suministros;Kleencut Regla, Acero;86.4;1;0;29.2
MX-2019-161641;25/11/2019;28/11/2019;Rápido;BH-11935;Begoña Hinojosa;Cliente;Macapá;Amapá;Brasil;Sur;MOB-SI-10001568;Mobiliario;Sillas;Office Star Estora, 2;2269;5;0;952
MX-2016-130400;29/12/2016;1/1/2017;Urgente;CB-12445;Ciro Becerra;Cliente;Macapá;Amapá;Brasil;Sur;TEC-CO-10004906;Tecnología;Copiadoras;Canon Tinta, Color;6920.3316;7;0.002;3105.3316
MX-2017-117919;29/11/2017;3/12/2017;Estándar;UR-21355;Unai Rubalcaba;Empresa;Macapá;Amapá;Brasil;Sur;MOB-ME-10001735;Mobiliario;Mesas;Hon Mesa de madera, Blanco;14227.2;5;0.2;1600.2
MX-2017-117919;29/11/2017;3/12/2017;Estándar;UR-21355;Unai Rubalcaba;Empresa;Macapá;Amapá;Brasil;Sur;MAT-SU-10002302;Material de oficina;Suministros;Stiletto Regla, Acero;285.6;3;0;88.2
MX-2017-106243;23/6/2017;28/6/2017;Estándar;LL-17845;Lidia Laureano;Cliente;Macapá;Amapá;Brasil;Sur;MOB-ME-10002060;Mobiliario;Mesas;Hon Mesa redonda, Montada;5518.72;2;0.2;689.52
MX-2019-129154;17/12/2019;21/12/2019;Rápido;MA-18685;María Acosta;Pequeña empresa;Manaus;Amazonas;Brasil;Sur;MAT-SU-10002302;Material de oficina;Suministros;Stiletto Regla, Acero;95.2;1;0;29.4
US-2018-132276;20/2/2018;25/2/2018;Rápido;AY-11440;Asunción Ybarra;Cliente;Parintins;Amazonas;Brasil;Sur;MOB-MO-10001975;Mobiliario;Mobiliario;Deflect-O Bombilla, Negro;202.56;4;0.6;-51.04
MX-2016-118983;17/8/2016;18/8/2016;Urgente;AB-10180;Adela Blanco;Pequeña empresa;Manaus;Amazonas;Brasil;Sur;MOB-SI-10004976;Mobiliario;Sillas;Hon Taburete, Negro;5374;5;0;1450
MX-2016-118983;17/8/2016;18/8/2016;Urgente;AB-10180;Adela Blanco;Pequeña empresa;Manaus;Amazonas;Brasil;Sur;MOB-SI-10000771;Mobiliario;Sillas;Hon Mecedora, Ajustable;2662.2;3;0;52.8
US-2016-126011;29/9/2016;4/10/2016;Estándar;IS-16585;Izaskun Sosa;Empresa;Parintins;Amazonas;Brasil;Sur;MOB-SI-10001686;Mobiliario;Sillas;Hon Mecedora, 2;1062.96;3;0.6;-1116.24
MX-2018-147333;20/9/2018;23/9/2018;Urgente;SP-20770;Sergio Porras;Empresa;Manaus;Amazonas;Brasil;Sur;MAT-AL-10004832;Material de oficina;Almacenamiento;Tenex Casilleros, Tamaño completo;6806;5;0;1293
MX-2018-147333;20/9/2018;23/9/2018;Urgente;SP-20770;Sergio Porras;Empresa;Manaus;Amazonas;Brasil;Sur;MAT-ET-10000458;Material de oficina;Etiquetas;Novimex Etiquetas de envío, Duradero;454.8;6;0;99.6
MX-2018-147333;20/9/2018;23/9/2018;Urgente;SP-20770;Sergio Porras;Empresa;Manaus;Amazonas;Brasil;Sur;MAT-AR-10002052;Material de oficina;Arte;Stanley Sacapuntas, Al por mayor;167;1;0;75
MX-2018-147333;20/9/2018;23/9/2018;Urgente;SP-20770;Sergio Porras;Empresa;Manaus;Amazonas;Brasil;Sur;MAT-SO-10003619;Material de oficina;Sobres;Jiffy Sobre de hebilla, Plateado;509.6;7;0;25.2
MX-2016-107195;31/8/2016;7/9/2016;Estándar;SN-20875;Santiago Núñez;Cliente;Manaus;Amazonas;Brasil;Sur;TEC-TE-10004109;Tecnología;Teléfonos;Samsung Teléfono de oficina, Tamaño completo;2217;5;0;687
MX-2019-161431;14/11/2019;18/11/2019;Rápido;IR-16360;Irati Rodríguez;Cliente;Coari;Amazonas;Brasil;Sur;MAT-CA-10000941;Material de oficina;Carpetas;Ibico Separadores, Duradero;208.2;3;0;18.6
MX-2019-161431;14/11/2019;18/11/2019;Rápido;IR-16360;Irati Rodríguez;Cliente;Coari;Amazonas;Brasil;Sur;MAT-CA-10002699;Material de oficina;Carpetas;Acco Cubierta de carpeta, Reciclado;729.6;8;0;65.6
MX-2018-154144;1/11/2018;6/11/2018;Estándar;KÁ-17245;Katia Ávila;Cliente;Manaus;Amazonas;Brasil;Sur;MAT-PA-10003921;Material de oficina;Papel;Xerox Papel de tipo pergamino, Reciclado;351.2;4;0;20.8
MX-2018-154144;1/11/2018;6/11/2018;Estándar;KÁ-17245;Katia Ávila;Cliente;Manaus;Amazonas;Brasil;Sur;MAT-ET-10004182;Material de oficina;Etiquetas;Hon Etiquetas redondas, Blanco;355.2;8;0;148.8
MX-2018-154144;1/11/2018;6/11/2018;Estándar;KÁ-17245;Katia Ávila;Cliente;Manaus;Amazonas;Brasil;Sur;MOB-SI-10002059;Mobiliario;Sillas;SAFCO Silla de playa, Rojo;659.2;2;0;131.6
MX-2018-154144;1/11/2018;6/11/2018;Estándar;KÁ-17245;Katia Ávila;Cliente;Manaus;Amazonas;Brasil;Sur;MOB-MO-10001014;Mobiliario;Mobiliario;Rubvermaid Bombilla, Premium;814.8;7;0;260.4
MX-2018-166471;16/3/2018;20/3/2018;Estándar;AA-11005;Andrés Arellano;Pequeña empresa;Manaus;Amazonas;Brasil;Sur;MAT-SU-10001629;Material de oficina;Suministros;Kleencut Cizallas, Rectangular;2028.6;7;0;791
MX-2018-166471;16/3/2018;20/3/2018;Estándar;AA-11005;Andrés Arellano;Pequeña empresa;Manaus;Amazonas;Brasil;Sur;MOB-SI-10001965;Mobiliario;Sillas;Office Star Mecedora, 2;3817.6;4;0;877.6
MX-2018-166471;16/3/2018;20/3/2018;Estándar;AA-11005;Andrés Arellano;Pequeña empresa;Manaus;Amazonas;Brasil;Sur;TEC-CO-10003473;Tecnología;Copiadoras;Brother Fotocopiadora personal, Digital;1896.5992;2;0.002;832.1992
MX-2018-166471;16/3/2018;20/3/2018;Estándar;AA-11005;Andrés Arellano;Pequeña empresa;Manaus;Amazonas;Brasil;Sur;MAT-ET-10001751;Material de oficina;Etiquetas;Novimex Etiquetas para documentos legales, Blanco;139.6;2;0;32
MX-2017-120789;6/7/2017;12/7/2017;Estándar;AL-11215;Anya Leyva;Pequeña empresa;Manacapuru;Amazonas;Brasil;Sur;MAT-PA-10000227;Material de oficina;Papel;Xerox Agenda, Premium;679;5;0;258
MX-2016-152366;7/10/2016;11/10/2016;Estándar;AE-11320;Ares Espinosa;Cliente;Manaus;Amazonas;Brasil;Sur;MOB-SI-10002369;Mobiliario;Sillas;Novimex Silla de playa, Negro;2031.4;7;0;893.2
MX-2018-115189;16/8/2018;20/8/2018;Estándar;GV-15430;Germán Vallejo;Cliente;Manaus;Amazonas;Brasil;Sur;MOB-LI-10001117;Mobiliario;Librerías;Dania Librería clásica, Negro;8242.2;3;0;3049.2
MX-2019-160311;4/7/2019;8/7/2019;Estándar;LC-17965;Lola Crespo;Empresa;Manaus;Amazonas;Brasil;Sur;MAT-AR-10002284;Material de oficina;Arte;Boston Bolígrafos, Al por mayor;289.8;3;0;8.4
MX-2019-160311;4/7/2019;8/7/2019;Estándar;LC-17965;Lola Crespo;Empresa;Manaus;Amazonas;Brasil;Sur;TEC-AC-10002787;Tecnología;Accesorios;Logitech Tarjeta de memoria, Programable;4894.4;7;0;439.6
MX-2019-160311;4/7/2019;8/7/2019;Estándar;LC-17965;Lola Crespo;Empresa;Manaus;Amazonas;Brasil;Sur;TEC-AC-10003462;Tecnología;Accesorios;Memorex Router, Blanco;13014.4;8;0;5985.6
MX-2017-149307;13/11/2017;18/11/2017;Estándar;UR-21400;Unai Reynoso;Cliente;Manaus;Amazonas;Brasil;Sur;MAT-SO-10000158;Material de oficina;Sobres;Kraft Sobre de hebilla, Reciclado;156;3;0;58.8
MX-2016-147018;13/10/2016;17/10/2016;Rápido;OL-19570;Odiseo Liébanas;Cliente;Manaus;Amazonas;Brasil;Sur;MAT-GR-10002614;Material de oficina;Grapas;Advantus Grapadoras, Al por mayor;900.2;7;0;242.2
MX-2016-115644;18/1/2016;23/1/2016;Estándar;WN-21790;Waldo Nazario;Cliente;Manaus;Amazonas;Brasil;Sur;MAT-GR-10003868;Material de oficina;Grapas;OIC Grapadoras, Paquete de 12;384;3;0;61.2
US-2017-156146;13/9/2017;19/9/2017;Estándar;LA-17905;Leopoldo Archuleta;Empresa;Chimbote;Ancash;Perú;Sur;MAT-SO-10003921;Material de oficina;Sobres;Ames Sobres de uso interno, 50;902.4;5;0.4;-105.6
US-2019-123288;19/11/2019;23/11/2019;Estándar;LS-18100;Luján Salinas;Cliente;Chimbote;Ancash;Perú;Sur;TEC-TE-10001255;Tecnología;Teléfonos;Nokia Teléfono de oficina, Tamaño completo;1594.08;6;0.4;-478.32
US-2017-153241;24/6/2017;30/6/2017;Estándar;AP-11515;Aniceto Puertas;Cliente;Huaraz;Ancash;Perú;Sur;MAT-CA-10001444;Material de oficina;Carpetas;Wilson Jones Separadores, Duradero;190.8;6;0.4;-57.6
MX-2019-100783;6/5/2019;10/5/2019;Estándar;MR-18205;Mafalda Rojo;Empresa;Medellín;Antioquia;Colombia;Sur;MAT-GR-10003651;Material de oficina;Grapas;Accos Clips, Paquete de 12;449;5;0;85
MX-2018-164021;24/7/2018;30/7/2018;Estándar;AR-11140;Antonio Rocha;Cliente;Bello;Antioquia;Colombia;Sur;MOB-LI-10002871;Mobiliario;Librerías;Sauder Librería clásica, Negro;8746.8;3;0;4110.6
MX-2018-164021;24/7/2018;30/7/2018;Estándar;AR-11140;Antonio Rocha;Cliente;Bello;Antioquia;Colombia;Sur;MOB-MO-10001975;Mobiliario;Mobiliario;Deflect-O Bombilla, Negro;759.6;6;0;379.2
MX-2018-142118;29/6/2018;3/7/2018;Rápido;DS-13705;Dino Saucedo;Empresa;Apartadó;Antioquia;Colombia;Sur;MOB-MO-10000543;Mobiliario;Mobiliario;Tenex Reloj, Duradero;630.4;2;0;226.8
MX-2018-142118;29/6/2018;3/7/2018;Rápido;DS-13705;Dino Saucedo;Empresa;Apartadó;Antioquia;Colombia;Sur;MAT-AR-10003750;Material de oficina;Arte;Sanford Rotuladores, Tamaños variados;704.8;4;0;176
